symbol,day,v2_scope,coverage,A_event,A_cards,A_class,B_v2,B_class,C_original,C_class
AAPL,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=219 | published=0,FAILED_GATE
AMAT,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,opening_blackout_gate=1; volatility_gate=365 | published=0,FAILED_GATE
AMD,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=366 | published=0,FAILED_GATE
AMD,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,opening_blackout_gate=1; volatility_gate=353 | published=0,FAILED_GATE
AMD,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=375 | published=0,FAILED_GATE
AVGO,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=375 | published=0,FAILED_GATE
AVGO,2026-09-09,POLLED,market_data+SEC,QUARTERLY_FILING(RTH),0/0 queued/sent,EVENT_NO_CARD,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=381 | published=0,FAILED_GATE
AVGO,2026-09-10,POLLED,market_data+SEC,none,1/0 queued/sent,INFORMATIONAL_DELIVERY_MISSED,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=369 | published=0,FAILED_GATE
BABA,2026-09-08,NOT_POLLED,market_data only (V2 NOT_POLLED),none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION (out of V2 scope),volatility_gate=309 | published=0,FAILED_GATE
BABA,2026-09-09,NOT_POLLED,market_data only (V2 NOT_POLLED),none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION (out of V2 scope),volatility_gate=344 | published=0,FAILED_GATE
BABA,2026-09-10,NOT_POLLED,market_data only (V2 NOT_POLLED),none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION (out of V2 scope),volatility_gate=366 | published=0,FAILED_GATE
BAC,2026-09-08,POLLED,market_data+SEC,none,1/0 queued/sent,INFORMATIONAL_DELIVERY_MISSED,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=252 | published=0,FAILED_GATE
BAC,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=332 | published=0,FAILED_GATE
BAC,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=350 | published=0,FAILED_GATE
BLK,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=216 | published=0,FAILED_GATE
BLK,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=322 | published=0,FAILED_GATE
BLK,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=342 | published=0,FAILED_GATE
BLSH,2026-09-08,NOT_POLLED,market_data only (V2 NOT_POLLED),none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION (out of V2 scope),volatility_gate=270 | published=0,FAILED_GATE
BLSH,2026-09-09,NOT_POLLED,market_data only (V2 NOT_POLLED),none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION (out of V2 scope),confluence_gate=1; opening_blackout_gate=1; volatility_gate=301 | published=0,FAILED_GATE
BLSH,2026-09-10,NOT_POLLED,market_data only (V2 NOT_POLLED),none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION (out of V2 scope),confluence_gate=4; opening_blackout_gate=1; volatility_gate=283 | published=0,FAILED_GATE
C,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=298 | published=0,FAILED_GATE
C,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=345 | published=0,FAILED_GATE
C,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=343 | published=0,FAILED_GATE
CSCO,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=307 | published=0,FAILED_GATE
CSCO,2026-09-09,POLLED,market_data+SEC,INSIDER_TRANSACTION(UNKNOWN),1/0 queued/sent,INFORMATIONAL_DELIVERY_MISSED,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=357 | published=0,FAILED_GATE
CSCO,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=384 | published=0,FAILED_GATE
CVX,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=234 | published=0,FAILED_GATE
CVX,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=349 | published=0,FAILED_GATE
CVX,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=358 | published=0,FAILED_GATE
DELL,2026-09-08,POLLED,market_data+SEC,QUARTERLY_FILING(AMC),0/0 queued/sent,EVENT_NO_CARD,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=323 | published=0,FAILED_GATE
DELL,2026-09-09,POLLED,market_data+SEC,INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN),13/0 queued/sent,INFORMATIONAL_DELIVERY_MISSED,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=347 | published=0,FAILED_GATE
DELL,2026-09-10,POLLED,market_data+SEC,INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN),5/0 queued/sent,INFORMATIONAL_DELIVERY_MISSED,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,confluence_gate=1; opening_blackout_gate=1; volatility_gate=329 | published=0,FAILED_GATE
GOOGL,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=381 | published=0,FAILED_GATE
GOOGL,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=371 | published=0,FAILED_GATE
GOOGL,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=379 | published=0,FAILED_GATE
IBM,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=300 | published=0,FAILED_GATE
IBM,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=336 | published=0,FAILED_GATE
IBM,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,confluence_gate=1; volatility_gate=326 | published=0,FAILED_GATE
INTC,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,1 distinct code-P owner 2026-08-14 -> single-insider near-miss,CORRECT_EXCLUSION,volatility_gate=344 | published=0,FAILED_GATE
INTC,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,1 distinct code-P owner 2026-08-14 -> single-insider near-miss,CORRECT_EXCLUSION,confluence_gate=1; volatility_gate=373 | published=0,FAILED_GATE
INTC,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,1 distinct code-P owner 2026-08-14 -> single-insider near-miss,CORRECT_EXCLUSION,confluence_gate=1; opening_blackout_gate=1; volatility_gate=346 | published=0,FAILED_GATE
JNJ,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,us_session_gate=1; volatility_gate=262 | published=0,FAILED_GATE
JNJ,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=335 | published=0,FAILED_GATE
JNJ,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=344 | published=0,FAILED_GATE
JPM,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=250 | published=0,FAILED_GATE
JPM,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=333 | published=0,FAILED_GATE
JPM,2026-09-10,POLLED,market_data+SEC,INSIDER_TRANSACTION(UNKNOWN),1/0 queued/sent,INFORMATIONAL_DELIVERY_MISSED,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=346 | published=0,FAILED_GATE
KO,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=250 | published=0,FAILED_GATE
KO,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=329 | published=0,FAILED_GATE
KO,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=352 | published=0,FAILED_GATE
MA,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=244 | published=0,FAILED_GATE
MA,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=335 | published=0,FAILED_GATE
MA,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=339 | published=0,FAILED_GATE
MCD,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=252 | published=0,FAILED_GATE
MCD,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=332 | published=0,FAILED_GATE
MCD,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=356 | published=0,FAILED_GATE
MSFT,2026-09-08,POLLED,market_data+SEC,INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN),0/0 queued/sent,EVENT_NO_CARD,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=306 | published=0,FAILED_GATE
MSFT,2026-09-09,POLLED,market_data+SEC,none,12/0 queued/sent,INFORMATIONAL_DELIVERY_MISSED,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=373 | published=0,FAILED_GATE
MSFT,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=377 | published=0,FAILED_GATE
MSTR,2026-09-08,POLLED,market_data+SEC,REGULATION_FD(BMO);OTHER_MATERIAL_EVENT(BMO);INSIDER_TRANSACTION(UNKNOWN),3/0 queued/sent,INFORMATIONAL_DELIVERY_MISSED,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=369 | published=0,FAILED_GATE
MSTR,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,confluence_gate=1; opening_blackout_gate=1; volatility_gate=358 | published=0,FAILED_GATE
MSTR,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,opening_blackout_gate=1; volatility_gate=358 | published=0,FAILED_GATE
NUE,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,us_session_gate=1; volatility_gate=285 | published=0,FAILED_GATE
NUE,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=334 | published=0,FAILED_GATE
NUE,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=348 | published=0,FAILED_GATE
NVDA,2026-09-08,POLLED,market_data+SEC,INSIDER_TRANSACTION(UNKNOWN),0/0 queued/sent,EVENT_NO_CARD,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,us_session_gate=1; volatility_gate=367 | published=0,FAILED_GATE
NVDA,2026-09-09,POLLED,market_data+SEC,none,1/0 queued/sent,INFORMATIONAL_DELIVERY_MISSED,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=360 | published=0,FAILED_GATE
NVDA,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=372 | published=0,FAILED_GATE
ORCL,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=345 | published=0,FAILED_GATE
ORCL,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,opening_blackout_gate=1; volatility_gate=359 | published=0,FAILED_GATE
ORCL,2026-09-10,POLLED,market_data+SEC,EARNINGS_RESULTS(RTH);OTHER_MATERIAL_EVENT(RTH),2/0 queued/sent,INFORMATIONAL_DELIVERY_MISSED,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,confluence_gate=1; volatility_gate=335 | published=0,FAILED_GATE
PG,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,us_session_gate=1; volatility_gate=290 | published=0,FAILED_GATE
PG,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=338 | published=0,FAILED_GATE
PG,2026-09-10,POLLED,market_data+SEC,INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN),6/0 queued/sent,INFORMATIONAL_DELIVERY_MISSED,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=348 | published=0,FAILED_GATE
PYPL,2026-09-08,POLLED,market_data+SEC,INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN),0/0 queued/sent,EVENT_NO_CARD,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=337 | published=0,FAILED_GATE
PYPL,2026-09-09,POLLED,market_data+SEC,none,3/0 queued/sent,INFORMATIONAL_DELIVERY_MISSED,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=353 | published=0,FAILED_GATE
PYPL,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,opening_blackout_gate=1; volatility_gate=368 | published=0,FAILED_GATE
SHOP,2026-09-08,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=286 | published=0,FAILED_GATE
SHOP,2026-09-09,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,opening_blackout_gate=1; volatility_gate=351 | published=0,FAILED_GATE
SHOP,2026-09-10,POLLED,market_data+SEC,none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION,volatility_gate=365 | published=0,FAILED_GATE
SKHY,2026-09-08,NOT_POLLED,market_data only (V2 NOT_POLLED),none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION (out of V2 scope),us_session_gate=1; volatility_gate=365 | published=0,FAILED_GATE
SKHY,2026-09-09,NOT_POLLED,market_data only (V2 NOT_POLLED),none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION (out of V2 scope),volatility_gate=374 | published=0,FAILED_GATE
SKHY,2026-09-10,NOT_POLLED,market_data only (V2 NOT_POLLED),none,0/0 queued/sent,NO_EVENT,no code-P record in the 45d window (pre-window lookback to 2026-07-15),CORRECT_EXCLUSION (out of V2 scope),confluence_gate=2; volatility_gate=355 | published=0,FAILED_GATE
