symbol,company_name,active_state,paper_trading_enabled,configured_horizon,sec_coverage_disposition,v2_execution_scope_status_S3,serving_lane,evidence,source_snapshot_utc
ASML,ASML Holding N.V.,paused,0,INTRADAY,"NOT_SEC_COVERED / status=paused, strategy_horizon=INTRADAY (not resolved as active+covered)",EXCLUDED -- paused / not polled,V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
AVGO,Broadcom,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
BABA,Alibaba Group Holding Limited,active,1,DUAL_HORIZON,"NOT_SEC_COVERED / Chinese issuer; files 20-F, not 10-K/Form 4 (application label known_non_filer -- not independently verified)",EXCLUDED -- not in resolved SEC-covered set,V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
BAC,Bank of America,active,0,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
BLK,BlackRock,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
BLSH,Bullish,active,1,DUAL_HORIZON,NOT_SEC_COVERED / Recent listing / SPAC-derived; no established SEC filing cadence (application label -- not independently verified),EXCLUDED -- not in resolved SEC-covered set,V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
C,Citigroup Inc.,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
CSCO,"Cisco Systems, Inc.",active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
CVX,Chevron,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
DELL,Dell Technologies Inc.,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
GOOGL,Alphabet Inc. (Class A),active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
IBM,International Business Machines Corporation,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
INTC,Intel Corporation,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
JNJ,Johnson & Johnson,active,0,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
JPM,JPMorgan Chase & Co,active,0,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
KO,Coca-Cola,active,0,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
MA,Mastercard,active,0,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
MCD,McDonald's,active,0,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
MSFT,Microsoft Corporation,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
MSTR,MicroStrategy Incorporated,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
NUE,Nucor,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
NVDA,NVIDIA Corporation,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
ORCL,Oracle Corporation,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
PATH,"UiPath, Inc.",paused,1,INTRADAY,"NOT_SEC_COVERED / status=paused, strategy_horizon=INTRADAY (not resolved as active+covered)",EXCLUDED -- paused / not polled,V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
PG,Procter & Gamble,active,0,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
PLTR,Palantir Technologies Inc.,paused,1,INTRADAY,"NOT_SEC_COVERED / status=paused, strategy_horizon=INTRADAY (not resolved as active+covered)",EXCLUDED -- paused / not polled,V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
PYPL,PayPal Holdings,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
RIG,Transocean Ltd.,paused,1,INTRADAY,"NOT_SEC_COVERED / status=paused, strategy_horizon=INTRADAY (not resolved as active+covered)",EXCLUDED -- paused / not polled,V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
SHOP,Shopify,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
SKHY,SK Hynix Inc.,active,1,DUAL_HORIZON,NOT_SEC_COVERED / Korea Exchange listing; no SEC domestic filer status (application label -- not independently verified),EXCLUDED -- not in resolved SEC-covered set,V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
SMCI,"Super Micro Computer, Inc.",paused,1,INTRADAY,"NOT_SEC_COVERED / status=paused, strategy_horizon=INTRADAY (not resolved as active+covered)",EXCLUDED -- paused / not polled,V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
SPCX,Space Exploration Technologies Corp. (SpaceX),active,1,DUAL_HORIZON,NOT_SEC_COVERED / Private company (SpaceX); no public SEC filings (application label -- not independently verified),EXCLUDED -- not in resolved SEC-covered set,V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
STX,Seagate Technology Holdings plc,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
TSLA,"Tesla, Inc.",active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
UNH,UnitedHealth Group Incorporated,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
V,Visa Inc.,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
VRT,Vertiv Holdings Co,active,1,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
WMT,Walmart,active,0,DUAL_HORIZON,SEC_COVERED (resolver: intelligence.service resolve_watchlist against cached company_tickers.json),ELIGIBLE -- in the enforced 39-name execution allowlist (S3 2026-09-10),V2 trading (audited) + Original intraday + Original long-term + Intelligence + Experimental (all lanes read the same watchlist),historical S3 session snapshot (watchlist.db.preclose) -- not current-only reconstruction,2026-09-10T07:44:36Z (watchlist.db.preclose; last_updated per-row 2026-09-10T07:45-07:46Z)
